[14:11:29.402] [main-module:00F111D9]: 08 c0                               or al, al                          
[14:11:29.402] [main-module:00F111DB]: 0f 84 1c 01 00 00                   jz 0xf112fd                        
[14:11:29.402] [main-module:00F111E1]: eb dc                               jmp 0xf111bf                       
[14:11:29.402] [main-module:00F111BF]: 81 ff e3 d6 f2 00                   cmp edi, 0xf2d6e3                  
[14:11:29.402] [main-module:00F111C5]: 73 71                               jnb 0xf11238                       
[14:11:29.402] [main-module:00F111C7]: aa                                  stosb byte ptr [edi]               
[14:11:29.402] [main-module:00F111C8]: ac                                  lodsb byte ptr [esi]               
[14:11:29.402] [main-module:00F111C9]: 3c 20                               cmp al, 0x20                       
[14:11:29.402] [main-module:00F111CB]: 0f 84 2c 01 00 00                   jz 0xf112fd                        
[14:11:29.402] [main-module:00F111D1]: 3c 0d                               cmp al, 0xd                        
[14:11:29.402] [main-module:00F111D3]: 0f 84 24 01 00 00                   jz 0xf112fd                        
[14:11:29.402] [main-module:00F111D9]: 08 c0                               or al, al                          
[14:11:29.402] [main-module:00F111DB]: 0f 84 1c 01 00 00                   jz 0xf112fd                        
[14:11:29.402] [main-module:00F111E1]: eb dc                               jmp 0xf111bf                       
[14:11:29.402] [main-module:00F112FD]: 4e                                  dec esi                            
[14:11:29.402] [main-module:00F112FE]: 81 ff e3 d6 f2 00                   cmp edi, 0xf2d6e3                  
[14:11:29.402] [main-module:00F11304]: 0f 83 2e ff ff ff                   jnb 0xf11238                       
[14:11:29.402] [main-module:00F1130A]: 30 c0                               xor al, al                         
[14:11:29.402] [main-module:00F1130C]: aa                                  stosb byte ptr [edi]               
[14:11:29.402] [main-module:00F1130D]: e9 68 fe ff ff                      jmp 0xf1117a                       
[14:11:29.402] [main-module:00F11312]: 83 3d c4 c1 f2 00 00                cmp dword ptr [0xf2c1c4], 0x0      
[14:11:29.402] [main-module:00F11319]: 0f 84 19 ff ff ff                   jz 0xf11238                        
[14:11:29.402] [main-module:00F1131F]: a1 d3 c6 f2 00                      mov eax, dword ptr [0xf2c6d3]      
[14:11:29.402] [main-module:00F11324]: c6 00 00                            mov byte ptr [eax], 0x0            
[14:11:29.402] [main-module:00F11327]: c7 05 c0 c1 f2 00 e3 e6 f2 00       mov dword ptr [0xf2c1c0], 0xf2e6e3 
[14:11:29.402] [main-module:00F11331]: f8                                  clc                                
[14:11:29.402] [main-module:00F11332]: c3                                  ret                                
[14:11:29.402] [main-module:00F11019]: 0f 82 db 00 00 00                   jb 0xf110fa                        
[14:11:29.402] [main-module:00F1101F]: e8 6c 03 00 00                      call 0xf11390                      
[14:11:29.402] [main-module:00F11390]: 31 c0                               xor eax, eax                       
[14:11:29.402] [main-module:00F11392]: a3 ac c1 f2 00                      mov dword ptr [0xf2c1ac], eax      
[14:11:29.402] [main-module:00F11397]: 89 e0                               mov eax, esp                       
[14:11:29.402] [main-module:00F11399]: 25 00 f0 ff ff                      and eax, 0xfffff000                
[14:11:29.402] [main-module:00F1139E]: 05 00 10 ff ff                      add eax, 0xffff1000                
[14:11:29.402] [main-module:00F113A3]: a3 bc c1 f2 00                      mov dword ptr [0xf2c1bc], eax      
[14:11:29.402] [main-module:00F113A8]: a1 cb c6 f2 00                      mov eax, dword ptr [0xf2c6cb]      
[14:11:29.402] [main-module:00F113AD]: c1 e0 0a                            shl eax, 0xa                       
[14:11:29.402] [main-module:00F113B0]: 75 2c                               jnz 0xf113de                       
[14:11:29.402] [main-module:00F113B2]: 68 e3 f6 f2 00                      push 0xf2f6e3                      
[14:11:29.402] [main-module:00F113B7]: ff 15 5c 40 f3 00                   call dword ptr [0xf3405c]          
    [KERNEL32.DLL:GlobalMemoryStatus_2985535B] ((DWORD)0x00F2F6E3)
[14:11:29.417] [main-module:00F113BD]: a1 f7 f6 f2 00                      mov eax, dword ptr [0xf2f6f7]      
[14:11:29.417] [main-module:00F113C2]: 8b 15 ef f6 f2 00                   mov edx, dword ptr [0xf2f6ef]      
[14:11:29.417] [main-module:00F113C8]: 83 f8 00                            cmp eax, 0x0                       
[14:11:29.417] [main-module:00F113CB]: 7c 0c                               jl 0xf113d9                        
[14:11:29.417] [main-module:00F113CD]: 83 fa 00                            cmp edx, 0x0                       
[14:11:29.417] [main-module:00F113D0]: 7c 07                               jl 0xf113d9                        
[14:11:29.417] [main-module:00F113D2]: c1 e8 02                            shr eax, 0x2                       
[14:11:29.417] [main-module:00F113D5]: 01 d0                               add eax, edx                       
[14:11:29.417] [main-module:00F113D7]: eb 05                               jmp 0xf113de                       
[14:11:29.417] [main-module:00F113D9]: b8 00 00 00 80                      mov eax, 0x80000000                
[14:11:29.417] [main-module:00F113DE]: 89 c2                               mov edx, eax                       
[14:11:29.417] [main-module:00F113E0]: c1 ea 02                            shr edx, 0x2                       
[14:11:29.417] [main-module:00F113E3]: 89 c1                               mov ecx, eax                       
[14:11:29.417] [main-module:00F113E5]: 29 d1                               sub ecx, edx                       
[14:11:29.417] [main-module:00F113E7]: 89 0d b0 c1 f2 00                   mov dword ptr [0xf2c1b0], ecx      
[14:11:29.417] [main-module:00F113ED]: 89 15 b8 c1 f2 00                   mov dword ptr [0xf2c1b8], edx      
[14:11:29.417] [main-module:00F113F3]: 6a 04                               push 0x4                           
[14:11:29.417] [main-module:00F113F5]: 68 00 10 00 00                      push 0x1000                        
[14:11:29.417] [main-module:00F113FA]: 50                                  push eax                           
[14:11:29.417] [main-module:00F113FB]: 6a 00                               push 0x0                           
[14:11:29.417] [main-module:00F113FD]: ff 15 4c 40 f3 00                   call dword ptr [0xf3404c]          
    [KERNEL32.DLL:VirtualAlloc_62C57C06] ((DWORD)0x00000000, (DWORD)0x80000000, MEM_COMMIT|MEM_4MB_PAGES, PAGE_READWRITE|SEC_LARGE_PAGES)
[14:11:29.417] [main-module:00F11403]: 09 c0                               or eax, eax                        
[14:11:29.417] [main-module:00F11405]: 74 1c                               jz 0xf11423                        
[14:11:29.417] [main-module:00F11407]: a3 ac c1 f2 00                      mov dword ptr [0xf2c1ac], eax      
[14:11:29.417] [main-module:00F1140C]: 03 05 b0 c1 f2 00                   add eax, dword ptr [0xf2c1b0]      
[14:11:29.417] [main-module:00F11412]: a3 b0 c1 f2 00                      mov dword ptr [0xf2c1b0], eax      
[14:11:29.417] [main-module:00F11417]: a3 b4 c1 f2 00                      mov dword ptr [0xf2c1b4], eax      
[14:11:29.417] [main-module:00F1141C]: 01 05 b8 c1 f2 00                   add dword ptr [0xf2c1b8], eax      
[14:11:29.417] [main-module:00F11422]: c3                                  ret                                
[14:11:29.417] [main-module:00F11423]: a1 b8 c1 f2 00                      mov eax, dword ptr [0xf2c1b8]      
[14:11:29.417] [main-module:00F11428]: d1 e0                               shl eax, 0x1                       
[14:11:29.417] [main-module:00F1142A]: 3d 00 40 00 00                      cmp eax, 0x4000                    
[14:11:29.417] [main-module:00F1142F]: 0f 82 18 05 00 00                   jb 0xf1194d                        
[14:11:29.417] [main-module:00F11435]: eb a7                               jmp 0xf113de                       
[14:11:29.417] [main-module:00F113DE]: 89 c2                               mov edx, eax                       
[14:11:29.417] [main-module:00F113E0]: c1 ea 02                            shr edx, 0x2                       
[14:11:29.417] [main-module:00F113E3]: 89 c1                               mov ecx, eax                       
[14:11:29.417] [main-module:00F113E5]: 29 d1                               sub ecx, edx                       
[14:11:29.417] [main-module:00F113E7]: 89 0d b0 c1 f2 00                   mov dword ptr [0xf2c1b0], ecx      
[14:11:29.417] [main-module:00F113ED]: 89 15 b8 c1 f2 00                   mov dword ptr [0xf2c1b8], edx      
[14:11:29.417] [main-module:00F113F3]: 6a 04                               push 0x4                           
[14:11:29.417] [main-module:00F113F5]: 68 00 10 00 00                      push 0x1000                        
[14:11:29.417] [main-module:00F113FA]: 50                                  push eax                           
[14:11:29.417] [main-module:00F113FB]: 6a 00                               push 0x0                           
[14:11:29.417] [main-module:00F113FD]: ff 15 4c 40 f3 00                   call dword ptr [0xf3404c]          
    [KERNEL32.DLL:VirtualAlloc_62C57C06] ((DWORD)0x00000000, (DWORD)0x40000000, MEM_COMMIT|MEM_4MB_PAGES, PAGE_READWRITE|SEC_LARGE_PAGES)
[14:11:29.417] [main-module:00F11024]: be 73 c1 f2 00                      mov esi, 0xf2c173                  
[14:11:29.417] [main-module:00F11029]: e8 ea 04 00 00                      call 0xf11518                      
    [KERNEL32.DLL:GetStdHandle_10E06831] (STD_OUTPUT_HANDLE)
    [KERNEL32.DLL:WriteFile_DD26B270] ((DWORD)0x0000000C, (DWORD)0x00F2C173: {202028}, (DWORD)0x00000003, (DWORD)0x00F2C6D7, (DWORD)0x00000000)
[14:11:29.417] [main-module:00F1102E]: a1 b0 c1 f2 00                      mov eax, dword ptr [0xf2c1b0]      
[14:11:29.417] [main-module:00F11033]: 2b 05 ac c1 f2 00                   sub eax, dword ptr [0xf2c1ac]      
[14:11:29.417] [main-module:00F11039]: 03 05 b8 c1 f2 00                   add eax, dword ptr [0xf2c1b8]      
