[14:19:26.620] [x64:77377000]: ea 09                               int 0x2e                           
[14:19:27.761] [main-module:00FA26E4]: e8 a3 02 00 00                      call 0xfa298c                      
[14:19:27.761] [main-module:00FA298C]: 8b 0d 18 c0 fb 00                   mov ecx, dword ptr [0xfbc018]      
[14:19:27.761] [main-module:00FA2992]: 56                                  push esi                           
[14:19:27.761] [main-module:00FA2993]: 57                                  push edi                           
[14:19:27.761] [main-module:00FA2994]: bf 4e e6 40 bb                      mov edi, 0xbb40e64e                
[14:19:27.761] [main-module:00FA2999]: be 00 00 ff ff                      mov esi, 0xffff0000                
[14:19:27.761] [main-module:00FA299E]: 3b cf                               cmp ecx, edi                       
[14:19:27.761] [main-module:00FA29A0]: 74 04                               jz 0xfa29a6                        
[14:19:27.761] [main-module:00FA29A2]: 85 ce                               test esi, ecx                      
[14:19:27.761] [main-module:00FA29A4]: 75 26                               jnz 0xfa29cc                       
[14:19:27.761] [main-module:00FA29A6]: e8 94 ff ff ff                      call 0xfa293f                      
[14:19:27.761] [main-module:00FA29CC]: f7 d1                               not ecx                            
[14:19:27.761] [main-module:00FA29CE]: 5f                                  pop edi                            
[14:19:27.761] [main-module:00FA29CF]: 89 0d 14 c0 fb 00                   mov dword ptr [0xfbc014], ecx      
[14:19:27.761] [main-module:00FA29D5]: 5e                                  pop esi                            
[14:19:27.761] [main-module:00FA29D6]: c3                                  ret                                
[14:19:27.761] [main-module:00FA26E9]: e9 74 fe ff ff                      jmp 0xfa2562                       
[14:19:27.761] [main-module:00FA2562]: 6a 14                               push 0x14                          
[14:19:27.761] [main-module:00FA2564]: 68 d8 af fb 00                      push 0xfbafd8                      
[14:19:27.761] [main-module:00FA2569]: e8 12 07 00 00                      call 0xfa2c80                      
[14:19:27.761] [main-module:00FA2C80]: 68 20 30 fa 00                      push 0xfa3020                      
[14:19:27.761] [main-module:00FA2C85]: 64 ff 35 00 00 00 00                push dword ptr fs:[0x0]            
[14:19:27.761] [main-module:00FA2C8C]: 8b 44 24 10                         mov eax, dword ptr [esp+0x10]      
[14:19:27.761] [main-module:00FA2C90]: 89 6c 24 10                         mov dword ptr [esp+0x10], ebp      
[14:19:27.761] [main-module:00FA2C94]: 8d 6c 24 10                         lea ebp, ptr [esp+0x10]            
[14:19:27.761] [main-module:00FA2C98]: 2b e0                               sub esp, eax                       
[14:19:27.761] [main-module:00FA2C9A]: 53                                  push ebx                           
[14:19:27.761] [main-module:00FA2C9B]: 56                                  push esi                           
[14:19:27.761] [main-module:00FA2C9C]: 57                                  push edi                           
[14:19:27.761] [main-module:00FA2C9D]: a1 18 c0 fb 00                      mov eax, dword ptr [0xfbc018]      
[14:19:27.761] [main-module:00FA2CA2]: 31 45 fc                            xor dword ptr [ebp-0x4], eax       
[14:19:27.761] [main-module:00FA2CA5]: 33 c5                               xor eax, ebp                       
[14:19:27.761] [main-module:00FA2CA7]: 50                                  push eax                           
[14:19:27.761] [main-module:00FA2CA8]: 89 65 e8                            mov dword ptr [ebp-0x18], esp      
[14:19:27.761] [main-module:00FA2CAB]: ff 75 f8                            push dword ptr [ebp-0x8]           
[14:19:27.761] [main-module:00FA2CAE]: 8b 45 fc                            mov eax, dword ptr [ebp-0x4]       
[14:19:27.761] [main-module:00FA2CB1]: c7 45 fc fe ff ff ff                mov dword ptr [ebp-0x4], 0xfffffffe
[14:19:27.761] [main-module:00FA2CB8]: 89 45 f8                            mov dword ptr [ebp-0x8], eax       
[14:19:27.761] [main-module:00FA2CBB]: 8d 45 f0                            lea eax, ptr [ebp-0x10]            
